"mu","sigma","d","S","N","mu_est","sigma_est","d_est"
2,0.1,8.75,10,100,1.85111528565517,0.0987534986211268,9.73215262618257
-2,1.325,8.75,10,100,-2,1.325,8.75
-1,1.325,8.75,10,100,-0.999866186054714,1.32498388150205,8.74989355708898
0,1.325,8.75,10,100,8.71012605755839e-06,1.3249988459083,8.7499923786397
1,1.325,8.75,10,100,0.99995174823394,1.32499418785545,8.74996161791336
2,1.325,8.75,10,100,0.692660974161897,0.953017971680515,8.44196327854428
-2,2.55,8.75,10,100,-1.98577984938018,2.55882834350981,8.85813239533821
-1,2.55,8.75,10,100,-1,2.55,8.75
0,2.55,8.75,10,100,0,2.55,8.75
1,2.55,8.75,10,100,0.994880079774639,2.54881310927391,8.79247206408291
2,2.55,8.75,10,100,1.98405644608554,2.55994162696612,8.87163642885661
-2,3.775,8.75,10,100,-2.22437788284967,4.19223283776465,11.65653715295
-1,3.775,8.75,10,100,-1.68938699613585,4.00625594116301,11.2914334463694
0,3.775,8.75,10,100,-0.437554380064515,3.5103821304176,10.0078204565119
1,3.775,8.75,10,100,0.988644775026434,3.56962219922402,10.2931765567912
2,3.775,8.75,10,100,1.99908360819205,3.7748868820289,8.74847563814262
-2,5,8.75,10,100,-2.02777869841543,5.01736168650964,9.06685077880095
-1,5,8.75,10,100,-1.00000000000025,4.99999999999986,8.74999999999975
0,5,8.75,10,100,-0.0019473025918206,5.00192077428514,8.75092388645673
1,5,8.75,10,100,1.43719176352115,4.75809122239638,13.1256088225879
2,5,8.75,10,100,2.0000010265359,5.00000064158494,8.74999887722636
-2,0.1,10,10,100,-2.00000069211104,0.099999991348612,9.99999913486119
-1,0.1,10,10,100,-0.990902730545371,0.0918784629717194,10.0288706596028
0,0.1,10,10,100,0.274993582006477,0.0958101743665136,10.842271370685
1,0.1,10,10,100,0.999999497001079,0.0999999954272825,9.99999954272825
2,0.1,10,10,100,-0.556807316099509,1.75481717995081,14.528228207705
-2,1.325,10,10,100,-2.00000761252873,1.32500825483584,9.99999048433908
-1,1.325,10,10,100,0.251797753590278,2.3122131929309,20.2419830625654
0,1.325,10,10,100,-0.00205677145098655,1.32472747778274,10.0185109430589
1,1.325,10,10,100,0.999999857166814,1.32500010823373,9.9999998732252
2,1.325,10,10,100,2,1.325,10
-2,2.55,10,10,100,-2.00005345304442,2.54998296184209,9.99993318369447
-1,2.55,10,10,100,-1,2.55,10
0,2.55,10,10,100,-0.000396642982442208,2.55029549902192,9.99960335701756
1,2.55,10,10,100,1.00045191673239,2.54952743487892,9.99939734045644
2,2.55,10,10,100,2.00000000095557,2.55000000088988,10.0000000107502
-2,3.775,10,10,100,-2,3.775,10
-1,3.775,10,10,100,-1.00216789388821,3.76749375123912,10.0939413665743
0,3.775,10,10,100,2.08992412958065e-08,3.77500001300978,9.99999997910076
1,3.775,10,10,100,0.99883487135824,3.77565935689045,10.0095328707053
2,3.775,10,10,100,1.99989504165298,3.77505426645138,9.99991222774349
-2,5,10,10,100,-1.98469389745203,4.99362245727168,10.1147957691098
-1,5,10,10,100,-0.999997556328007,5.00000110423394,9.99999764795888
0,5,10,10,100,-0.00176733015747897,4.99911633492126,9.99823266984252
1,5,10,10,100,1.00000464330748,5.00000257961527,9.99999484076947
2,5,10,10,100,2,5,10
-2,0.1,5,100,100,-1.99998892638605,0.100008124685897,4.9999903493515
-1,0.1,5,100,100,-0.999999989733091,0.100000009240218,4.99999999533322
0,0.1,5,100,100,1.10590658780363e-06,0.0999999889409341,4.99999944704671
1,0.1,5,100,100,1,0.1,5
2,0.1,5,100,100,2.00478130677611,0.00190575183101667,5.02710235931192
-2,1.325,5,100,100,-2,1.325,5
-1,1.325,5,100,100,-1.00102552295027,1.32532596002803,5.0250956040317
0,1.325,5,100,100,0,1.325,5
1,1.325,5,100,100,0.99418158991815,1.32429914605832,5.05024990525234
2,1.325,5,100,100,2.00015646204348,1.32497408597405,5.00185798676637
-2,2.55,5,100,100,-1.99360512581693,2.5539380396017,4.99743709483786
-1,2.55,5,100,100,-1.00146422019389,2.55171177854947,4.99872210483076
0,2.55,5,100,100,0,2.55,5
1,2.55,5,100,100,1,2.55,5
2,2.55,5,100,100,2.00200400581337,2.55320392477618,4.99688103071887
