"","x"
"802",-18.6255658042347
"803",-18.7669105855861
"804",-17.8783455781075
"805",-17.8869163244222
"806",-17.9148638445401
"807",-17.9588989325777
"808",-18.0161114956951
"809",-18.099426845253
"810",-18.2039982644138
"811",-18.3057659454431
"812",-18.4680017853578
"813",-18.6179543693203
"814",-18.768861240347
"815",-17.8789274107005
"816",-17.8879395633264
"817",-17.916304833988
"818",-17.958882821467
"819",-18.0224983527345
"820",-18.0956633923394
"821",-18.21163008164
"822",-18.3389797445363
"823",-18.4501773702026
"824",-18.6427674332155
"825",-18.7973202880812
"826",-17.8806234332174
"827",-17.8890452149866
"828",-17.915680909549
"829",-17.9620404992689
"830",-18.0282685113852
"831",-18.1088191223741
"832",-18.2097543441549
"833",-18.301349702466
"834",-18.4548140330847
"835",-18.6307181239672
"836",-18.8048807097289
"837",-17.8833646886569
"838",-17.8928035143017
"839",-17.9223235663626
"840",-17.9581721851725
"841",-18.0179918680419
"842",-18.111817524887
"843",-18.1966718581832
"844",-18.3091415794266
"845",-18.4444962314576
"846",-18.6110916918717
"847",-18.8234422911744
"848",-17.8870885433579
"849",-17.8957416868219
"850",-17.9223474334382
"851",-17.9667064884196
"852",-18.0314104400614
"853",-18.1140325118875
"854",-18.1985030808574
"855",-18.3297014021562
"856",-18.4839362961284
"857",-18.6347946911055
"858",-18.7891007622381
"859",-17.8917379369974
"860",-17.9011618965038
"861",-17.9266437554607
"862",-17.9688096523596
"863",-18.0422161869471
"864",-18.1071477894616
"865",-18.2189105670892
"866",-18.3321472120373
"867",-18.4596935916263
"868",-18.6214986921618
"869",-18.7975514557568
"870",-17.897260740589
"871",-17.9058598396822
"872",-17.9320428398681
"873",-17.9749122113388
"874",-18.0380570727462
"875",-18.1305849994907
"876",-18.2243320708475
"877",-18.3351604932861
"878",-18.4690618599316
"879",-18.6313999436779
"880",-18.8570730460411
"881",-17.9036092043423
"882",-17.9116210210312
"883",-17.9413055108481
"884",-17.9843712050539
"885",-18.0551463525603
"886",-18.1236137280425
"887",-18.2184572979679
"888",-18.3598799294974
"889",-18.5033333921477
"890",-18.6200684270919
"891",-18.8225449861985
"892",-17.9107394806994
"893",-17.9198074180066
"894",-17.9455326145471
"895",-17.9897870153403
"896",-18.0503021992366
"897",-18.1366245895834
"898",-18.2339484531667
"899",-18.327667440931
"900",-18.51665235541
"901",-18.6512868035729
"902",-18.8442320544115
"903",-17.9186112105906
"904",-17.9286289967496
"905",-17.9544713206426
"906",-18.0000892685478
"907",-18.0660396973277
"908",-18.1417950219402
"909",-18.2382199352202
"910",-18.3618687953975
"911",-18.5295877692935
"912",-18.6786655378892
"913",-18.8282918147782
"914",-17.9271871631124
"915",-17.9357797262665
"916",-17.9623875342176
"917",-18.0084765347651
"918",-18.0584088270862
"919",-18.1717644809286
"920",-18.2352742350669
